run,id,phase,operation,parent_ids,hcv,scv,fitness,node_count,tree_depth,tree,canonical
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,init-i19,-1,initial,,10,4.575,50.326,9,4,(+ (/ a b) (* c (+ d e))),(+ (* (+ d e) c) (/ a b))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-e0,0,elitism,init-i1,6,4.730,33.110,10,3,(if (< e h) (* c d) (+ f g)),(if (< e h) (* c d) (+ f g))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i1,0,crossover,init-i1|init-i3,9,4.664,46.638,12,4,(if (> f g) (+ (* c d) a) (/ b h)),(if (< g f) (+ (* c d) a) (/ b h))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i2,0,crossover,init-i1|init-i3,10,4.835,53.187,12,4,(+ (if (< e h) (* c d) f) (* a b)),(+ (* a b) (if (< e h) (* c d) f))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i3,0,crossover,init-i4|init-i1,46,2.513,118.096,12,4,(if (> a b) (+ (* e f) g) (- c d)),(if (< b a) (+ (* e f) g) (- c d))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i4,0,crossover,init-i16|init-i1,7,4.748,37.982,12,4,(if (< e h) (+ a (* b c)) (+ f g)),(if (< e h) (+ (* b c) a) (+ f g))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i5,0,crossover,init-i16|init-i1,8,4.903,44.124,7,3,(+ (* a b) (+ c d)),(+ (* a b) (+ c d))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i6,0,crossover,init-i1|init-i15,17,4.698,84.560,12,4,(if (> f g) (+ (* c d) a) (/ b h)),(if (< g f) (+ (* c d) a) (/ b h))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i7,0,crossover,init-i1|init-i15,10,4.420,48.618,12,4,(+ (if (< e h) (* c d) f) (* a g)),(+ (* a g) (if (< e h) (* c d) f))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i8,0,crossover,init-i15|init-i16,7,5.053,40.426,5,3,(+ a (* b c)),(+ (* b c) a)
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i9,0,crossover,init-i15|init-i16,26,4.605,124.331,10,3,(if (< e f) (+ a b) (* c d)),(if (< e f) (+ a b) (* c d))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i10,0,mutation,init-i0,25,4.567,118.734,10,3,(if (< a b) (* c d) (+ e f)),(if (< a b) (* c d) (+ e f))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i11,0,mutation,init-i3,47,2.994,143.695,18,4,(if (< a b) (+ (* a b) (/ f g)) (* (+ a b) (- f g))),(if (< a b) (+ (* a b) (/ f g)) (* (+ a b) (- f g)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i12,0,mutation,init-i5,54,2.027,111.490,12,4,(if (> e h) (+ (* c d) f) (- g b)),(if (< h e) (+ (* c d) f) (- g b))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i13,0,crossover,init-i3|init-i3,5,4.735,28.408,9,4,(+ (* a (+ b c)) (/ f g)),(+ (* (+ b c) a) (/ f g))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i14,0,crossover,init-i3|init-i3,54,2.683,147.591,12,4,(if (< a b) (* f g) (+ (/ c d) e)),(if (< a b) (* f g) (+ (/ c d) e))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i15,0,crossover,init-i1|init-i16,12,4.901,63.710,10,3,(if (> f g) (+ c d) (* a b)),(if (< g f) (+ c d) (* a b))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i16,0,crossover,init-i1|init-i16,48,2.767,135.582,7,3,(+ (* e f) (- g h)),(+ (* e f) (- g h))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i17,0,mutation,init-i7,12,4.978,64.716,12,4,(if (< e f) (* a b) (+ (/ c d) e)),(if (< e f) (* a b) (+ (/ c d) e))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i18,0,crossover,init-i19|init-i15,6,4.994,34.956,7,3,(+ (* a c) (/ f g)),(+ (* a c) (/ f g))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g0-i19,0,crossover,init-i19|init-i15,10,4.810,52.912,12,4,(if (< b e) (+ d f) (* a (+ c g))),(if (< b e) (+ d f) (* (+ c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-e0,1,elitism,g0-i13,5,4.735,28.408,9,4,(+ (* a (+ b c)) (/ f g)),(+ (* (+ b c) a) (/ f g))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i1,1,mutation,g0-i19,26,4.138,111.725,14,4,(if (> a d) (* b (+ c f)) (+ e (/ g h))),(if (< d a) (* (+ c f) b) (+ (/ g h) e))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i2,1,mutation,g0-i5,8,4.747,42.720,10,3,(if (< e f) (* a b) (+ c d)),(if (< e f) (* a b) (+ c d))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i3,1,crossover,g0-e0|g0-i19,3,4.880,19.520,12,4,(if (< e h) (+ f g) (* a (+ c g))),(if (< e h) (+ f g) (* (+ c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i4,1,crossover,g0-e0|g0-i19,12,4.579,59.522,10,3,(if (> b e) (* c d) (+ d f)),(if (< e b) (* c d) (+ d f))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i5,1,mutation,g0-i5,8,4.704,42.340,10,3,(if (< e f) (* a b) (+ c d)),(if (< e f) (* a b) (+ c d))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i6,1,crossover,g0-i12|g0-i13,11,4.611,55.327,12,4,(if (< e h) (* (+ b c) d) (+ f g)),(if (< e h) (* (+ b c) d) (+ f g))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i7,1,crossover,g0-i12|g0-i13,44,2.912,131.037,9,4,(+ (/ (+ a b) c) (* f e)),(+ (* e f) (/ (+ a b) c))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i8,1,crossover,g0-i19|g0-i18,27,4.032,112.901,14,4,(if (> a d) (* b (+ c f)) (+ e (/ g h))),(if (< d a) (* (+ c f) b) (+ (/ g h) e))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i9,1,crossover,g0-i19|g0-i18,58,2.071,122.209,14,4,(+ (if (< f h) (* a b) (+ c d)) (* e g)),(+ (* e g) (if (< f h) (* a b) (+ c d)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i10,1,crossover,g0-i19|g0-i5,25,4.944,128.538,14,4,(if (> f e) (* d (+ a b)) (+ c (* g h))),(if (< e f) (* (+ a b) d) (+ (* g h) c))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i11,1,crossover,g0-i19|g0-i5,18,4.723,89.737,14,4,(+ (/ a b) (if (< c e) (+ f g) (* d h))),(+ (/ a b) (if (< c e) (+ f g) (* d h)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i12,1,crossover,g0-i19|g0-i18,11,4.871,58.456,14,4,(if (> a e) (* b (+ c f)) (+ d (/ g h))),(if (< e a) (* (+ c f) b) (+ (/ g h) d))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i13,1,crossover,g0-i19|g0-i18,7,4.694,37.554,14,4,(+ (if (< f g) (* a c) (+ b d)) (/ e h)),(+ (/ e h) (if (< f g) (* a c) (+ b d)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i14,1,crossover,g0-i5|g0-i19,4,4.934,24.669,12,4,(if (< b e) (* d f) (+ a (+ c g))),(if (< b e) (* d f) (+ (+ c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i15,1,crossover,g0-i5|g0-i19,15,4.746,75.938,7,3,(+ (* b c) (- d e)),(+ (* b c) (- d e))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i16,1,crossover,g0-i18|g0-e0,9,4.663,46.627,14,4,(if (< e h) (+ (* a c) (/ f g)) (* c d)),(if (< e h) (+ (* a c) (/ f g)) (* c d))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i17,1,crossover,g0-i18|g0-e0,8,4.875,43.871,14,4,(+ (* a c) (if (> e h) (/ f g) (+ f g))),(+ (* a c) (if (< h e) (/ f g) (+ f g)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i18,1,crossover,g0-i19|g0-e0,50,2.511,128.058,14,4,(if (< a h) (* b (+ c d)) (+ f (* g e))),(if (< a h) (* (+ c d) b) (+ (* e g) f))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g1-i19,1,mutation,g0-i2,8,4.759,42.832,14,4,(+ (if (< e h) (* c d) (+ f a)) (* a b)),(+ (* a b) (if (< e h) (* c d) (+ a f)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-e0,2,elitism,g1-i3,3,4.880,19.520,12,4,(if (< e h) (+ f g) (* a (+ c g))),(if (< e h) (+ f g) (* (+ c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i1,2,crossover,g1-i3|g1-i5,29,4.138,124.142,12,4,(if (< e f) (+ f g) (* a (+ c g))),(if (< e f) (+ f g) (* (+ c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i2,2,crossover,g1-i3|g1-i5,11,4.911,58.933,10,3,(if (< e h) (* a b) (+ c d)),(if (< e h) (* a b) (+ c d))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i3,2,crossover,g1-i17|g1-i11,13,4.476,62.664,14,4,(+ (/ a b) (if (> e h) (+ f g) (* d h))),(+ (/ a b) (if (< h e) (+ f g) (* d h)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i4,2,crossover,g1-i17|g1-i11,8,4.786,43.078,14,4,(+ (* a c) (if (< c e) (/ f g) (+ d h))),(+ (* a c) (if (< c e) (/ f g) (+ d h)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i5,2,crossover,g1-i3|g1-i2,32,4.401,145.226,12,4,(if (< e f) (+ f g) (* a (+ c g))),(if (< e f) (+ f g) (* (+ c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i6,2,crossover,g1-i3|g1-i2,12,4.866,63.258,10,3,(if (< e h) (* a b) (+ c d)),(if (< e h) (* a b) (+ c d))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i7,2,mutation,g1-i14,26,4.919,132.814,14,4,(if (< a e) (* d (+ f g)) (+ b (+ c h))),(if (< a e) (* (+ f g) d) (+ (+ c h) b))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i8,2,crossover,g1-i13|g1-i13,9,4.519,45.186,14,4,(+ (if (> f g) (* a c) (+ b d)) (/ e h)),(+ (/ e h) (if (< g f) (* a c) (+ b d)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i9,2,crossover,g1-i13|g1-i13,9,4.968,49.682,14,4,(+ (if (< f g) (* a c) (+ b d)) (* e h)),(+ (* e h) (if (< f g) (* a c) (+ b d)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i10,2,crossover,g1-i17|g1-i14,46,2.969,139.561,14,4,(if (> a b) (+ (* c e) f) (* (+ d g) h)),(if (< b a) (+ (* c e) f) (* (+ d g) h))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i11,2,crossover,g1-i17|g1-i14,58,2.014,118.823,16,4,(+ (/ (+ a b) c) (if (< f g) (* e h) (+ d f))),(+ (/ (+ a b) c) (if (< f g) (* e h) (+ d f)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i12,2,crossover,g1-i2|g1-i14,10,5.045,55.497,14,4,(if (< e b) (+ a (* c d)) (* f (+ g h))),(if (< e b) (+ (* c d) a) (* (+ g h) f))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i13,2,crossover,g1-i2|g1-i14,33,4.394,149.403,14,4,(+ (if (> a d) (+ b c) (* e f)) (/ g h)),(+ (/ g h) (if (< d a) (+ b c) (* e f)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i14,2,mutation,g1-i3,8,4.724,42.514,12,4,(if (> e h) (* f g) (+ a (* c g))),(if (< h e) (* f g) (+ (* c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i15,2,crossover,g1-i2|g1-i3,4,4.700,23.499,12,4,(if (< e g) (+ a b) (* c (+ d f))),(if (< e g) (+ a b) (* (+ d f) c))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i16,2,crossover,g1-i2|g1-i3,5,4.835,29.008,12,4,(if (> h e) (* f g) (+ a (+ b c))),(if (< e h) (* f g) (+ (+ b c) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i17,2,mutation,g1-i2,50,2.437,124.278,10,3,(if (> c g) (+ a b) (* e f)),(if (< g c) (+ a b) (* e f))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i18,2,crossover,g1-i14|g1-i14,15,4.706,75.296,14,4,(if (< a e) (+ (* b f) c) (* d (+ g h))),(if (< a e) (+ (* b f) c) (* (+ g h) d))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g2-i19,2,mutation,g1-i3,10,4.683,51.511,12,4,(if (> e h) (* f g) (+ a (* c g))),(if (< h e) (* f g) (+ (* c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-e0,3,elitism,g2-e0,3,4.880,19.520,12,4,(if (< e h) (+ f g) (* a (+ c g))),(if (< e h) (+ f g) (* (+ c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i1,3,mutation,g2-e0,9,4.905,49.046,12,4,(if (> e h) (* f g) (+ a (* c g))),(if (< h e) (* f g) (+ (* c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i2,3,crossover,g2-e0|g2-i15,3,4.937,19.747,14,4,(if (< e g) (* f (+ c g)) (+ a (* b d))),(if (< e g) (* (+ c g) f) (+ (* b d) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i3,3,crossover,g2-e0|g2-i15,10,4.722,51.940,14,4,(if (> e h) (+ c (* f g)) (* a (+ b e))),(if (< h e) (+ (* f g) c) (* (+ b e) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i4,3,crossover,g2-e0|g2-i16,6,5.023,35.163,12,4,(if (< e h) (* f g) (+ a (+ b c))),(if (< e h) (* f g) (+ (+ b c) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i5,3,mutation,g2-i6,12,4.312,56.052,21,4,(if (> c h) (+ (* e f) (* g d)) (if (< a b) (- h g) (+ e f))),(if (< h c) (+ (* d g) (* e f)) (if (< a b) (- h g) (+ e f)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i6,3,crossover,g2-e0|g2-i14,16,5.230,88.902,12,4,(if (< e h) (* f g) (+ a (* c g))),(if (< e h) (* f g) (+ (* c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i7,3,crossover,g2-e0|g2-i14,7,4.597,36.777,12,4,(if (> e h) (+ f g) (* a (+ c g))),(if (< h e) (+ f g) (* (+ c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i8,3,crossover,g2-i16|g2-i19,9,4.582,45.817,16,4,(if (> e h) (+ (* f g) (* b c)) (* a (+ e h))),(if (< h e) (+ (* b c) (* f g)) (* (+ e h) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i9,3,crossover,g2-i16|g2-i19,28,4.152,120.394,16,4,(if (<= h e) (* (+ f b) (+ c g)) (+ a (* e f))),(if (<= h e) (* (+ b f) (+ c g)) (+ (* e f) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i10,3,mutation,g2-i16,6,4.817,33.722,12,4,(if (> h e) (* f g) (+ a (* b c))),(if (< e h) (* f g) (+ (* b c) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i11,3,crossover,g2-i4|g2-i9,10,4.927,54.197,14,4,(+ (if (> c e) (* a b) (+ f g)) (* d h)),(+ (* d h) (if (< e c) (* a b) (+ f g)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i12,3,crossover,g2-i4|g2-i9,29,3.434,103.025,16,4,(+ (/ (+ a b) c) (if (< f e) (* g h) (+ d c))),(+ (/ (+ a b) c) (if (< f e) (* g h) (+ c d)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i13,3,mutation,g2-e0,8,4.658,41.921,12,4,(if (> e h) (* f g) (+ a (* c g))),(if (< h e) (* f g) (+ (* c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i14,3,crossover,g2-i19|g2-i11,60,2.001,122.053,19,4,(if (> e h) (+ a (* c g)) (if (< f g) (* e h) (+ d f))),(if (< h e) (+ (* c g) a) (if (< f g) (* e h) (+ d f)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i15,3,crossover,g2-i19|g2-i11,6,4.760,33.318,9,4,(+ (/ (+ a b) c) (* f g)),(+ (* f g) (/ (+ a b) c))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i16,3,crossover,g2-e0|g2-i16,6,5.182,36.274,12,4,(if (< e h) (* f g) (+ a (+ b c))),(if (< e h) (* f g) (+ (+ b c) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i17,3,crossover,g2-e0|g2-i16,9,4.895,48.953,12,4,(if (> h e) (+ f g) (* a (+ c g))),(if (< e h) (+ f g) (* (+ c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i18,3,crossover,g2-i15|g2-i8,9,4.693,46.934,12,4,(if (< e g) (* a b) (+ c (* d f))),(if (< e g) (* a b) (+ (* d f) c))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g3-i19,3,crossover,g2-i15|g2-i8,9,4.883,48.833,14,4,(+ (if (< f g) (+ a c) (* b d)) (/ e h)),(+ (/ e h) (if (< f g) (+ a c) (* b d)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-e0,4,elitism,g3-e0,3,4.880,19.520,12,4,(if (< e h) (+ f g) (* a (+ c g))),(if (< e h) (+ f g) (* (+ c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i1,4,crossover,g3-i4|g3-i10,6,4.570,31.990,12,4,(if (< e h) (* f g) (+ a (* b c))),(if (< e h) (* f g) (+ (* b c) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i2,4,crossover,g3-i4|g3-i10,5,4.663,27.980,12,4,(if (> h e) (+ f g) (* a (+ b c))),(if (< e h) (+ f g) (* (+ b c) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i3,4,crossover,g3-i7|g3-i7,7,5.040,40.323,12,4,(if (< e h) (+ f g) (* a (+ c g))),(if (< e h) (+ f g) (* (+ c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i4,4,crossover,g3-i7|g3-i7,9,4.408,44.084,12,4,(if (> e h) (* f g) (+ a (+ c g))),(if (< h e) (* f g) (+ (+ c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i5,4,mutation,g3-i16,2,4.875,14.624,12,4,(if (< e h) (* f g) (+ a (* b c))),(if (< e h) (* f g) (+ (* b c) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i6,4,mutation,g3-i2,10,4.639,51.029,14,4,(if (> e g) (+ f (* c d)) (* a (+ b h))),(if (< g e) (+ (* c d) f) (* (+ b h) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i7,4,mutation,g3-i8,2,4.847,14.540,16,4,(if (< e h) (+ (* f g) (* b c)) (* a (+ e h))),(if (< e h) (+ (* b c) (* f g)) (* (+ e h) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i8,4,crossover,g3-e0|g3-e0,3,4.808,19.230,12,4,(if (< e h) (* f g) (+ a (+ c g))),(if (< e h) (* f g) (+ (+ c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i9,4,crossover,g3-e0|g3-e0,10,4.584,50.428,14,4,(if (> e h) (+ f (* a g)) (* c (+ d g))),(if (< h e) (+ (* a g) f) (* (+ d g) c))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i10,4,crossover,g3-i10|g3-i10,15,4.862,77.796,14,4,(if (> e h) (+ f (* a b)) (* c (+ d g))),(if (< h e) (+ (* a b) f) (* (+ d g) c))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i11,4,crossover,g3-i10|g3-i10,53,2.119,114.415,14,4,(if (<= h e) (+ (* f g) a) (- b (* c d))),(if (<= h e) (+ (* f g) a) (- b (* c d)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i12,4,mutation,g3-i10,17,4.766,85.797,14,4,(if (> c e) (+ f (* a b)) (- g (/ h d))),(if (< e c) (+ (* a b) f) (- g (/ h d)))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i13,4,crossover,g3-i15|g3-i15,8,4.859,43.732,9,4,(+ (* a g) (/ (+ b f) c)),(+ (* a g) (/ (+ b f) c))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i14,4,crossover,g3-i15|g3-i15,6,4.765,33.355,10,3,(if (< d h) (+ a b) (* f g)),(if (< d h) (+ a b) (* f g))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i15,4,crossover,g3-i2|g3-i7,16,4.487,76.285,14,4,(if (< e g) (+ f (* b d)) (* a (+ c g))),(if (< e g) (+ (* b d) f) (* (+ c g) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i16,4,crossover,g3-i4|g3-i18,13,4.816,67.418,14,4,(if (< e g) (+ f (* b c)) (* a (+ d e))),(if (< e g) (+ (* b c) f) (* (+ d e) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i17,4,crossover,g3-i4|g3-i18,53,1.761,95.109,14,4,(if (> c h) (- g (* f d)) (+ b (* a e))),(if (< h c) (- g (* d f)) (+ (* a e) b))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i18,4,crossover,g3-i10|g3-e0,6,4.634,32.437,14,4,(if (< h e) (+ f (* g c)) (* a (+ b e))),(if (< h e) (+ (* c g) f) (* (+ b e) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g4-i19,4,crossover,g3-i10|g3-e0,39,4.297,171.886,14,4,(if (> e h) (* f (+ g b)) (+ a (* c e))),(if (< h e) (* (+ b g) f) (+ (* c e) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g5-e0,5,elitism,g4-i7,2,4.847,14.540,16,4,(if (< e h) (+ (* f g) (* b c)) (* a (+ e h))),(if (< e h) (+ (* b c) (* f g)) (* (+ e h) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g5-i1,5,crossover,g4-e0|g4-i7,6,4.919,34.432,16,4,(if (< e h) (+ (* f g) (* b c)) (+ a (* c h))),(if (< e h) (+ (* b c) (* f g)) (+ (* c h) a))
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,g5-i2,5,crossover,g4-e0|g4-i7,17,4.522,81.396,16,4,(if (< e h) (* (+ f g) (+ b c)) (* a (+ e g))),(if (< e h) (* (+ b c) (+ f g)) (* (+ e g) a))
