run,operation,phase,valid,failure_category,latency_seconds,prompt_tokens,completion_tokens,is_runaway
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,1,True,,0.277,985,33,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,1,True,,0.523,955,46,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,1,True,,0.496,963,43,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,1,True,,0.406,883,25,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,2,True,,0.512,963,37,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,2,True,,0.507,972,46,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,2,True,,0.450,963,37,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,2,True,,0.423,879,24,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,2,False,unchanged_parent,0.597,972,46,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,2,True,,0.375,999,46,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,2,True,,0.538,965,50,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,2,True,,0.501,961,45,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,2,False,unchanged_parent,0.403,881,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,2,True,,0.203,908,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,2,True,,0.504,963,39,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,2,False,unchanged_parent,0.402,880,20,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,2,True,,0.188,907,20,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,2,True,,0.569,960,45,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,2,False,unchanged_parent,0.384,881,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,2,True,,0.203,908,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,3,False,unchanged_parent,0.431,881,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,3,True,,0.204,908,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,3,True,,0.559,966,43,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,3,True,,0.444,965,39,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,3,False,unchanged_parent,0.280,880,20,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,3,True,,0.292,907,35,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,3,True,,0.510,963,39,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,3,True,,0.529,966,50,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,3,False,depth_exceeded,0.203,882,24,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,3,True,,0.212,910,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,3,True,,0.597,972,49,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,3,False,unchanged_parent,0.415,881,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,3,True,,0.201,908,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,3,True,,0.579,975,46,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,3,True,,0.471,965,39,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,3,True,,0.495,971,43,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,4,True,,0.467,965,39,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,4,True,,0.424,962,39,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,4,False,depth_exceeded,0.431,880,24,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,4,True,,0.204,908,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,4,False,unchanged_parent,0.301,884,24,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,4,True,,0.215,911,24,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,4,False,unchanged_parent,0.319,887,27,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,4,True,,0.239,914,27,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,4,True,,0.523,964,41,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,4,True,,0.466,964,45,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,4,False,unchanged_parent,0.415,881,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,4,True,,0.218,908,24,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,4,True,,0.457,956,33,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,4,True,,0.465,966,41,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,4,True,,0.462,965,43,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,4,True,,0.493,964,43,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,5,True,,0.533,970,49,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,5,False,unchanged_parent,0.414,879,20,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,5,True,,0.189,906,20,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,5,False,unchanged_parent,0.290,881,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,5,True,,0.204,908,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,5,True,,0.531,963,43,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,5,True,,0.464,964,39,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,5,True,,0.424,966,39,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,5,True,,0.525,970,49,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,5,True,,0.471,966,41,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,5,False,unchanged_parent,0.431,881,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,5,True,,0.199,908,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,5,True,,0.535,969,43,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,5,False,unchanged_parent,0.456,887,27,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,5,True,,0.238,914,27,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,5,True,,0.517,966,39,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,6,True,,0.472,964,41,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,6,False,unchanged_parent,0.543,974,49,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,6,True,,0.411,1001,51,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,6,False,unchanged_parent,0.417,974,50,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,6,True,,0.414,1001,51,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,6,True,,0.495,971,44,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,6,False,unchanged_parent,0.401,881,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,6,True,,0.202,908,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,6,True,,0.492,964,49,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,6,True,,0.548,975,55,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,6,False,unchanged_parent,0.428,882,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,6,True,,0.204,909,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,6,True,,0.545,970,42,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,6,True,,0.485,970,45,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,6,False,unchanged_parent,0.325,882,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,6,True,,0.209,909,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,6,False,unchanged_parent,0.200,882,22,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,6,True,,0.220,909,24,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,7,True,,0.594,975,51,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,7,True,,0.461,967,43,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,7,True,,0.556,975,51,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,7,True,,0.530,969,48,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,7,True,,0.484,887,31,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,7,False,unchanged_parent,0.615,976,51,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,7,True,,0.412,1003,51,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,7,True,,0.478,886,30,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,7,True,,0.648,968,56,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,7,True,,0.337,886,30,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,7,True,,0.302,879,24,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,7,True,,0.605,970,50,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,7,True,,0.522,967,48,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,8,False,unchanged_parent,0.536,976,50,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,8,True,,0.404,1003,50,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,8,True,,0.333,889,30,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,8,False,unchanged_parent,0.645,975,55,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,8,True,,0.420,1002,52,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,8,True,,0.505,972,46,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,8,True,,0.563,971,56,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,8,True,,0.529,969,49,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,8,True,,0.516,968,46,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,8,True,,0.551,974,51,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,8,True,,0.581,973,55,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,8,False,unchanged_parent,0.358,886,27,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,8,True,,0.243,913,27,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,8,True,,0.351,889,30,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,8,True,,0.343,886,30,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,9,False,unchanged_parent,0.332,889,28,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,9,True,,0.242,916,28,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,9,False,unchanged_parent,0.589,975,47,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,9,True,,0.434,1002,56,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,9,True,,0.547,978,55,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,9,True,,0.558,973,52,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,9,True,,0.580,982,56,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,9,True,,0.587,978,56,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,9,True,,0.447,890,30,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,9,True,,0.653,978,56,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,9,False,unchanged_parent,0.457,886,27,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,9,True,,0.239,913,27,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,9,True,,0.635,975,55,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,crossover,9,True,,0.587,982,56,False
results/temperature/T_0.2/car-f-92-20260831T144121Z-seed1001,mutation,9,True,,0.375,890,30,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,initial,-1,True,,0.506,750,56,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,initial,-1,True,,0.380,750,46,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,initial,-1,True,,0.448,750,56,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,initial,-1,True,,0.380,750,46,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,initial,-1,True,,0.429,750,52,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,0,True,,0.583,963,44,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,0,True,,0.410,949,31,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,0,True,,0.376,958,31,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,0,True,,0.372,959,31,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,0,True,,0.445,954,35,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,0,True,,0.413,881,20,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,0,True,,0.240,875,14,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,0,True,,0.298,881,23,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,0,True,,0.450,960,31,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,0,True,,0.408,947,30,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,0,True,,0.315,881,23,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,0,True,,0.490,958,37,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,1,True,,0.432,962,34,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,1,True,,0.301,962,34,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,1,True,,0.434,955,34,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,1,True,,0.454,879,26,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,1,True,,0.475,957,30,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,1,False,depth_exceeded,0.455,883,31,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,1,True,,0.228,911,25,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,1,False,unchanged_parent,0.308,887,25,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,1,True,,0.188,914,20,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,1,True,,0.466,957,30,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,1,True,,0.433,966,39,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,1,True,,0.348,879,26,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,1,True,,0.501,959,35,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,1,True,,0.396,962,30,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,2,True,,0.391,878,17,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,2,True,,0.491,960,34,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,2,True,,0.453,959,37,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,2,True,,0.486,960,42,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,2,True,,0.426,882,22,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,2,True,,0.469,957,30,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,2,True,,0.280,882,22,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,2,True,,0.488,955,33,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,2,True,,0.451,959,38,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,2,True,,0.438,960,35,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,2,True,,0.281,882,25,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,2,False,depth_exceeded,0.716,964,66,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,2,True,,0.393,990,48,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,3,False,depth_exceeded,0.499,961,46,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,3,True,,0.378,987,47,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,3,True,,0.440,879,26,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,3,True,,0.436,957,29,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,3,True,,0.458,966,40,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,3,True,,0.448,879,26,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,3,True,,0.545,968,48,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,3,True,,0.462,958,39,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,3,False,unchanged_parent,0.410,880,20,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,3,True,,0.215,907,23,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,3,True,,0.513,968,36,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,3,True,,0.368,967,31,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,3,False,depth_exceeded,0.472,960,45,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,3,True,,0.316,986,38,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,3,True,,0.412,883,21,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,4,True,,0.307,886,26,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,4,False,arity_or_parse,0.498,882,30,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,4,True,,0.191,913,20,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,4,True,,0.480,958,31,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,4,True,,0.447,885,26,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,4,True,,0.321,877,26,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,4,True,,0.440,965,42,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,4,False,depth_exceeded,0.528,965,56,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,4,True,,0.337,991,40,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,4,True,,0.500,965,49,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,4,False,arity_or_parse,0.485,963,42,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,4,True,,0.317,988,37,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,4,False,depth_exceeded,0.552,966,52,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,4,True,,0.354,992,43,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,4,True,,0.468,969,40,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,4,False,arity_or_parse,0.473,959,36,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,4,True,,0.261,984,31,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,5,True,,0.425,960,34,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,5,True,,0.432,962,36,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,5,True,,0.467,971,45,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,5,True,,0.411,960,37,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,5,True,,0.458,968,44,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,5,False,unchanged_parent,0.416,880,20,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,5,True,,0.211,907,23,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,5,True,,0.411,959,36,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,5,True,,0.513,968,46,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,5,True,,0.376,876,17,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,5,False,runaway_unterminated_json,15.137,878,2048,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,5,True,,0.358,925,20,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,5,True,,0.280,880,20,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,5,True,,0.483,962,36,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,6,False,depth_exceeded,0.515,954,46,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,6,True,,0.370,980,46,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,6,True,,0.447,877,26,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,6,True,,0.531,959,42,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,6,True,,0.464,961,40,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,6,True,,0.374,878,20,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,6,True,,0.496,959,42,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,6,True,,0.492,963,42,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,6,True,,0.475,960,40,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,6,True,,0.444,883,25,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,6,True,,0.435,956,29,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,6,True,,0.389,954,32,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,mutation,6,True,,0.444,883,25,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,7,True,,0.378,956,32,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,7,True,,0.416,958,32,False
results/temperature/T_0.4/car-f-92-20260831T153114Z-seed1001,crossover,7,True,,0.419,959,32,False
